id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40503800,Luxury 1 bedroom condo,94669678,Kingston 6,,Bay Street Corridor,43.66286,-79.38735,Entire home/apt,90,1,11,2020-01-30,4.78,5,12
40504945,Luxurious lake view condo,269874115,Fady,,Mimico (includes Humber Bay Shores),43.62359,-79.48186,Private room,99,7,0,,,1,365
40504953,Beautiful 4 Bedroom Home in Cedervale,4473923,Eric,,Humewood-Cedarvale,43.69913,-79.43097,Entire home/apt,150,15,0,,,1,13
40505565,Runnymede House Toronto,82579620,Chalani,,Runnymede-Bloor West Village,43.66185,-79.48132,Private room,30,1,1,2019-12-04,0.41,1,351
40506095,1 Bedroom Hideout - High Park,275296819,Sara,,High Park North,43.65431,-79.4652,Entire home/apt,72,1,1,2020-02-06,1,10,365
40506665,Spacious 2br/2bath condo in trendy King West!,22384422,Asif,,Niagara,43.64172,-79.41374,Entire home/apt,400,5,0,,,2,0
40506935,Lovely Condo in the Heart of West Queen West,26603695,Ksenia,,Little Portugal,43.64284,-79.42513,Entire home/apt,95,3,1,2020-01-02,0.68,1,75
40507859,Executive 1+Den near Lawrence West subway,142438910,Zenaida,,Yorkdale-Glen Park,43.71451,-79.45395,Entire home/apt,99,1,4,2020-02-04,2.67,1,78
40508538,Private suite in the Beach,299517026,Susan,,The Beaches,43.6697,-79.29445,Entire home/apt,50,1,6,2020-02-08,2.61,1,291
40508586,"Modern 1BR Condo, close to CN Tower, free parking",216959802,Alex,,Waterfront Communities-The Island,43.64124,-79.3976,Entire home/apt,186,3,6,2020-02-09,3.33,1,217
40508836,Bright Room on Private floor with On-suite,41062409,Cristina,,East End-Danforth,43.6877,-79.29309,Private room,40,14,1,2020-02-01,1,1,75
40509096,Elegance in Green 12 Floor 2bd 2bath. Balcony,10202618,Simply Comfort,,Waterfront Communities-The Island,43.64053,-79.3972,Entire home/apt,300,1,1,2020-01-29,1,119,338
40509407,Exquisite 2 BD in the heart of downtown Toronto,206506241,Sherine,,Church-Yonge Corridor,43.6607,-79.38231,Entire home/apt,150,3,7,2020-02-10,4.67,1,158
40509763,"High Park 1 bedroom, great location.",313622482,Massayoshi,,High Park North,43.65718,-79.46179,Entire home/apt,125,2,1,2019-12-23,0.56,1,10
40509859,"Steps To CN Tower, Scotiabank Arena and More!!",290361124,Ankit,,Waterfront Communities-The Island,43.64156,-79.38261,Entire home/apt,89,1,20,2020-02-02,8.57,2,66
40510111,North York Studio Apartment,313625021,Arman,,Willowdale East,43.77693,-79.4051,Entire home/apt,80,2,1,2019-12-30,0.64,1,84
40511856,Spacious private bed/bath near UP Express,3700141,Adam,,Dovercourt-Wallace Emerson-Junction,43.66019,-79.45039,Private room,76,2,3,2020-02-03,1.88,1,72
40512236,Luxurious & Spacious Detached House,261053792,Frankie,,Lawrence Park South,43.71607,-79.40115,Entire home/apt,380,2,1,2020-01-02,0.68,6,339
40512648,Master bedroom In Luxury condo with Lake View,45739801,Daniel,,Waterfront Communities-The Island,43.63966,-79.39791,Private room,80,2,0,,,6,46
40512904,Modern Chic Townhouse Condo,261053792,Frankie,,Mount Pleasant East,43.71343,-79.39636,Entire home/apt,350,21,2,2020-01-27,2,6,165
40513015,☆Chic Luxury☆ Best Location In Toronto☆City Views,135732567,Dyson,,Waterfront Communities-The Island,43.6423,-79.38117,Entire home/apt,159,1,11,2020-02-09,5.32,5,71
40513136,Private Den in Luxury condo with Lake view,45739801,Daniel,,Waterfront Communities-The Island,43.64162,-79.39685,Private room,65,2,0,,,6,46
40513570,Large family-friendly detached downtown home,14228049,Noam,,South Riverdale,43.65823,-79.3394,Entire home/apt,175,3,0,,,2,14
40513686,Home Away From Home Warm welcome & fond farewell,313621808,Jewel,,Yorkdale-Glen Park,43.70444,-79.46567,Private room,32,1,3,2020-01-15,2.09,2,31
40513834,Unit 5 Separate Kitchen & washroom  (basement),312957965,Joben,,Malvern,43.81473,-79.21277,Private room,25,1,2,2020-01-19,1.62,4,183
40514169,Large-Newly furnished bsmt Room in perfect locatio,187593300,Chris,,Bathurst Manor,43.75929,-79.46242,Private room,37,3,0,,,13,128
40514302,Highfield Heights 3bd Home -Luxury KING/QUEEN beds,90938835,Brandon & Heather,,Greenwood-Coxwell,43.67444,-79.32624,Entire home/apt,164,3,9,2020-02-12,5.4,1,219
40514746,Clean shared room for men's only-Near subway,87136721,Sungwon,,Lawrence Park North,43.72411,-79.41217,Shared room,30,1,2,2019-12-25,1.11,12,75
40515793,Endroit chic,108453543,Andric,,Rockcliffe-Smythe,43.67972,-79.48164,Private room,64,1,0,,,1,0
40516159,"★✦Spectacular View! 1bed+Den, Downtown core✦★",211526817,Golsana,,Bay Street Corridor,43.66081,-79.38376,Entire home/apt,148,2,8,2020-01-19,3.48,40,77
40517192,⭐The Pinnacle⭐|PENTHOUSE|PARKING|180°HUGE BALCONY,44969885,Lavinder,,Waterfront Communities-The Island,43.64282,-79.38249,Entire home/apt,99,1,18,2020-02-11,7.61,2,183
40522173,Superior Spacious - High end bedding  Bsmt  Room,187593300,Chris,,Bathurst Manor,43.75796,-79.46268,Private room,38,3,1,2019-12-31,0.64,13,120
40524927,Bright Studio Located Downtown Toronto,313760213,Brandon,,Moss Park,43.65179,-79.36615,Entire home/apt,110,1,28,2020-02-10,13.13,1,28
40526685,"3-Entire Suite, kitchen,WD,family room,DW,Washroom",22929016,Qun,,North St.James Town,43.6691,-79.3777,Private room,60,1,7,2020-01-26,3.75,8,41
40527650,1Bed 1Bath Apartment Suite - Yonge-Eglinton,313791069,Leo,,Yonge-Eglinton,43.70866,-79.40041,Entire home/apt,141,1,0,,,1,0
40528453,Cozy House,296412580,Yang,,St.Andrew-Windfields,43.74833,-79.39479,Private room,60,2,0,,,3,68
40530495,Amazing condo /breathtaking views -great location!,6081759,Mariana,,High Park-Swansea,43.63581,-79.47132,Entire home/apt,80,10,1,2020-01-01,0.67,1,0
40530603,Modern & Cozy Space Located In The Heart of DTN,2222694,Elena,,Annex,43.67752,-79.3959,Entire home/apt,175,29,0,,,1,281
40530649,Treasure Mollys House of Music,313109363,Adena,,Mimico (includes Humber Bay Shores),43.61727,-79.49026,Private room,41,1,14,2020-02-11,6,2,362
40530675,1BR+den unit on the subway line!,37701656,Bushra,,Clanton Park,43.73546,-79.44692,Entire home/apt,115,180,0,,,1,274
40531563,A Third Bird with sunshine.,198041926,Bendeniable,,South Parkdale,43.63913,-79.43091,Entire home/apt,56,2,0,,,3,236
40532064,Beautiful New Bedroom // Close to Pearson airport,303955716,Maria Luisa,,Willowridge-Martingrove-Richview,43.68137,-79.5696,Private room,45,1,0,,,2,174
40533206,Clean living room in the heart of downtown,33627729,Christy,,Moss Park,43.65818,-79.37423,Shared room,30,1,2,2019-12-25,1.05,1,0
40533368,"Comfy Basement Studio w/ Kitchen, West Toronto",106709676,Adele,,Dovercourt-Wallace Emerson-Junction,43.66495,-79.44991,Entire home/apt,58,2,6,2020-01-04,3.16,2,263
40533379,beautiful 1 bedroom,304406315,Snc,,Moss Park,43.66006,-79.37207,Entire home/apt,150,5,0,,,5,90
40533763,"Perfect location to TTC, Fully furnished bsmt Room",187593300,Chris,,Bathurst Manor,43.75952,-79.4622,Private room,38,3,0,,,13,0
40533893,"In heart of downtown Toronto, Newly Furnished 2BR",313835948,Harsha,,Church-Yonge Corridor,43.6613,-79.38078,Entire home/apt,135,4,1,2019-12-30,0.64,1,174
40534726,Artsy Open-Concept Two-Bedroom on King Street West,5986023,Jesse,,South Parkdale,43.63665,-79.44048,Entire home/apt,148,1,1,2020-01-01,0.67,1,145
40534980,Luxury Downtown 2BR Condo - Fashion & Ent District,276683453,Michael,,Niagara,43.64081,-79.40154,Entire home/apt,1000,1,7,2020-02-09,7,3,215
40536131,Grand Vetro | Free parking | heart of DT,312985773,Star,,Waterfront Communities-The Island,43.641,-79.40061,Entire home/apt,300,1,4,2020-01-04,1.94,2,171
40536798,Bedroom,313821267,Alessandro,,Moss Park,43.65757,-79.37325,Shared room,159,1,0,,,1,365
40536969,Cozy Condo with Spectacular Yonge St View,74289446,Peter,,Bay Street Corridor,43.66291,-79.38438,Entire home/apt,95,3,0,,,6,40
40537062,Gorgeous 2BR in the heart of Downtown - City Views,304328818,Alec,,Waterfront Communities-The Island,43.64244,-79.38124,Entire home/apt,1000,1,10,2020-02-02,6.38,7,191
40537254,Glenpark Vista,215317820,Zach,,Yorkdale-Glen Park,43.70538,-79.46343,Private room,27,14,1,2020-01-03,0.68,5,117
40537899,Visit Toronto! Beautiful views! Steps to lake!!,313987657,Lisa,,Long Branch,43.59506,-79.5336,Entire home/apt,110,14,1,2020-01-03,0.7,1,10
40538775,Cozy and well located one bedroom apartment,225288881,Humberto,,Corso Italia-Davenport,43.67941,-79.44548,Entire home/apt,65,90,0,,,1,77
40539021,Bright and Spacious North York Walkout,177061647,Ricardo,,Lansing-Westgate,43.76015,-79.42113,Entire home/apt,80,2,3,2020-01-19,1.5,2,81
40539598,Corinthian Place,237933419,Andrei & Alena,,L'Amoreaux,43.79144,-79.32573,Private room,60,1,0,,,1,0
40540773,Cozy 1 BR 30 mins From Downtown Toronto!,124454415,Ara,,Milliken,43.82584,-79.27373,Entire home/apt,54,1,0,,,1,0
